UID,Country,Country.region,City,Date.announced,Date.started,Date.ended,End.circumstance,Description,Initiative.name,Primary.type,Action,Function,Application,Category,Space,Time,Intensity,Scale,Infrastructure.affected,Management,Length.km,Trigger,Policy,Selection.process,Anticipated.longevity,Purpose,Strategy,Budget,Approach,Sector.type,Sources,Comments,Public.engagement,Verified.local,Date.verified,Corrected,Date.corrected,Verifier.role,Contact.info,Lessons.learned,Corrections,Perception,Mode.type,Modes,Modes.other,Partners,Governments,For.profits,Non.profits,World.region,Country.code,Country.region.code,TC.CP.2021,,,,,,OriginalUID,OriginalID,all.IDs
454,United States,,multiple cities,,4/20/2020,,,"TC: NA. MW: Uber Direct builds upon Uber Eats’ recent expansion into grocery and convenience store delivery by allowing shoppers to place orders from select retailers and get contactless home delivery. In New York City, Uber is partnering with Cabinet to provide over-the-counter medication. Uber is also partnering with the national postal service CTT in Portugal, with Greencross to deliver pet supplies in Australia, and with the Bill and Melinda Gates Foundation to deliver medication to vulnerable communities in South Africa.. ML: NA",Uber launches Uber Direct,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,country,,unknown,,unknown,New action,Arbitrary,Unknown,Moving goods,Other,,Modifications to services,Private sector action,https://www.uber.com/newsroom/moving-more-of-what-matters-with-delivery/,,,,,,,,,,,,Delivery or freight,,,"Uber, Cabinet, CTT, Greencross, Western Cape Department of Health, The Bill and Melinda Gates Foundation",2,3,1,North America,US,,0,,,,,,489,MW502A,MW502A
455,United States,,multiple cities,,4/20/2020,,,"TC: NA. MW: Uber Connect allows users in select cities to log into the Uber app and send packages to family and friends. The feature offers same-day, no-contact delivery and is available in 25 cities in Australia, Mexico, and the United States. A goal for Uber Connect is to help drivers find essential work while travel was limited to essential trips.. ML: NA",Uber launches Uber Connect,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,country,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving goods,Other,,Modifications to services,Private sector action,https://www.uber.com/newsroom/moving-more-of-what-matters-with-delivery/,,,,,,,,,,,,Delivery or freight,,,Uber,,1,,North America,US,,0,,,,,,490,MW012C,MW012C
456,United States,District of Columbia,"Washington, D.C.",,4/20/2020,,,"TC: NA. MW: Washington, D.C. is launching a sidewalk extension plan to temporarily extend sidewalks near grocery stores and other essential retailers to allow pedestrians enough space to practice physical distancing. Sidewalk extensions will be located in all eight wards of the District, based upon the Department of Transportation's evaluation and suggestions from the public, Advisory Neighborhood Commissioners, and Business Improvement District representatives.. ML: NA","Washington, D.C. launches sidewalk extension plan near essential businesses",Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://ddot.dc.gov/release/mayor-bowser-announces-sidewalk-extension-plan-support-social-distancing-near-essential,,,,,,,,,,,,Public space,,,Washington D.C. Department of Transportation,1,,,North America,US,,1,,,,,,491,MW494,MW494
457,United States,District of Columbia,"Washington, D.C.",4/20/2020,,,,TC: by request. MW: NA. ML: NA,,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,curb space: pedbike,Physical,Curb,All day every day,100% banning of cars,one or more neighborhoods,Sidewalk,Temporary barriers,,Reactive response (to higher contagion),New action,Input or request from community,Unknown,Moving people,Change of use,,N/A,unknown,https://dcist.com/story/20/04/20/coronavirus-latest-dc-maryland-virginia-week-of-april-20/#dcsidewalks,,,,,,,,,,,,,,,0,,,,North America,US,,1,,,,,,492,TC223,TC223
458,United States,Oregon,Bend,4/21/2020,4/21/2020,,,"TC: fast-tracking creation of new n'hood greenways w/ temp. materials. MW: The City of Bend is implementing temporary restrictions to through-traffic on pop-up Neighborhood Greenway routes to facilitate typical neighborhood greenway functions for a slow-speed, low-traffic shared roadway environment. Pop-up neighborhood greenway streets have temporary restrictions of through-traffic and are located on neighborhood greenway routes that are either already constructed, were planned for construction later this summer/fall, or are on the city’s planned network of neighborhood greenways. The City Manager, as the Road Authority is restricting traffic on these streets to ""Local Traffic Only"" and will post signs on some, but not all, of these streets (signage will be limited as much of the city’s signing and barricade inventory is being utilized to support COVID-19 testing and other construction projects). Not all intersections or accesses will receive city-led signage; signage will be prioritized for routes with higher through-traffic. This initiative was implemented because opportunities for outdoor recreation and fitness have been reduced by closures, causing concentration of people on remaining trails and fields which risks physical contact and close proximity. The city can select several segments of the planned neighborhood greenway network to create opportunities for outdoor recreation and fitness by creating routes that can support the ability to maintain 6 to 10 feet separation.. ML: NA",Bend's 'Stay Healthy Streets',Partial street closures,Filtered/banned non-local traffic,street space for ped/bike,partial street: pedbike,Operational,Entire Roadway,All day every day,Only resident vehicles allowed,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,Expanding pre-covid action,Arbitrary,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://www.bendoregon.gov/city-projects/infrastructure-projects/neighborhood-greenways/stay-healthy-streets , https://www.bendoregon.gov/city-projects/infrastructure-projects/neighborhood-greenways/stay-healthy-streets",,,,,,,,,,,,Public space,,,City of Bend,1,,,North America,US,US-OR,1,,,,,,493,TC224,"TC224, MW420"
459,Belgium,,Brussels,4/21/2020,,,,TC: automated walk/bike signals where possible. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),entire city,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,unknown,Unknown,Public health,Automation,,N/A,unknown,NA,,,,,,,,Dimitri Strobbe (linkedIn),,,,,,,0,,,,Europe & Central Asia,BE,,1,,,,,,494,TC227,TC227
460,Belgium,,Brussels,4/21/2020,,,,TC: One of the bigger forests/parks in Brussels ('Ter Kameren Bos') has also been closed off for car traffic to enable social distancing for peds/bikes. MW: NA. ML: NA,,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Change of use,,N/A,unknown,https://plus.lesoir.be/295737/article/2020-04-20/pentagone-bruxelles-une-zone-20-avec-pietons-et-cyclistes-prioritaires; https://twitter.com/elkevdbrandt/status/1245682700763246592,,,,,,,,Dimitri Strobbe (linkedIn),,,,,,,0,,,,Europe & Central Asia,BE,,1,,,,,,495,TC225,TC225
461,Belgium,,Brussels,4/21/2020,,,,TC: The city center (called 'the pentagone') has been transformed into 'Residential Area' to give space to pedestrian and cyclists so they can keep a safe distance.. MW: NA. ML: NA,,Partial street closures,Implemented shared streets,street space for ped/bike,partial street: pedbike,Physical,Entire Roadway,All day every day,No ban of any vehicles (shared space),one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Unknown,Moving people,Change of use,,N/A,unknown,https://plus.lesoir.be/295737/article/2020-04-20/pentagone-bruxelles-une-zone-20-avec-pietons-et-cyclistes-prioritaires,,,,,,,,Dimitri Strobbe (linkedIn),,,,,,,0,,,,Europe & Central Asia,BE,,1,,,,,,496,TC226,TC226
462,Belgium,,Brussels,4/21/2020,,,,"TC: Within the city center ('pentagone') speed limits have been reduced to 20km/h (""residential area"") through summer. MW: NA. ML: NA",,"Legal, policy, enforcement, funding changes",Reduced speed limit,other bike/ped supports,speed limit,Regulatory,Entire Roadway,All day every day,No ban of any vehicles (shared space),entire city,Road space (includes bridges),Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Safety,Other,,N/A,Public sector action,https://www.vrt.be/vrtnws/en/2020/04/21/20km-h-speed-limit-in-central-brussels/,,,,,,,,Dimitri Strobbe (linkedIn),,,,,,,0,,,,Europe & Central Asia,BE,0,1,,,,,,497,TC228,TC228
463,India,,Gurugram,,4/21/2020,,,"TC: NA. MW: Gurugram Metropolitan City Bus Limited (GMCBL) buses started drive-thru collection for COVID-19 samples for testing in Gurugram. It is equipped with testing facilities with technicians/phlebotomists from the Pathkind Diagnostics team moving in defined areas in Gurugram daily on a fixed hour basis. The bus may move in containment zones,. The initiative aims to contribute to the national cause and help reduce chances of community transmission.. ML: NA",Repurposing a public transport bus as a utility bus: COVID-19 mobile testing bus,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Reactive response (to higher contagion),New action,Based on demand,Unknown,Public health,Change of use,,unknown,unknown,https://www.gmcbl.in/download.html?fid=480fca6d-8eb9-4346-91d9-36b6cd640370&code=generalResource&key=attachment&identifier=1588146699306,,,,,,,,,,,,Transit,Bus,,"Gurugram Metropolitan City Bus Limited (GMCBL), Pathkind Diagnostics, Government of Haryana, Municipal Corporation of Gurugram",2,2,,South Asia,IN,,0,,,,,,498,MW101,MW101
464,United States,California,Long Beach,4/21/2020,,,,TC: Walk Long Beach has developed walking loops and is conducting weekly social-distanced walks on Wednesdays. MW: NA. ML: NA,,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,N/A,N/A,N/A,N/A,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,unknown,Other,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,499,TC231,TC231
465,Italy,,Milan,4/21/2020,,,,TC: announced: ped/bike priority streets. MW: NA. ML: NA,,Partial street closures,Implemented shared streets,street space for ped/bike,partial street: pedbike,Physical,Entire Roadway,All day every day,No ban of any vehicles (shared space),one or more streets,Road space (includes bridges),Temporary barriers,,Strategic response (to fast-track previous policies),New action,Based on previous studies,Unknown,Moving people,Change of use,,N/A,unknown,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,IT,,1,,,,,,500,TC234,TC234
466,Italy,,Milan,4/21/2020,,,,"TC: announced: 35km of streets to be transformed, including new and widened pavements and temporary bike lanes. MW: NA. ML: City will trial roadway reallocation to cycling and pedestrian space, breakdown TBD",,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,curb space: pedbike,Physical,Curb,All day every day,100% banning of cars,entire city,Road space (includes bridges),Signage (horizontal or vertical),35,Opening up after lockdown,New action,Arbitrary,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution , https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution",,,,,,,,,,,,Public space,,,0,,,,Europe & Central Asia,IT,,1,,,,,,502,ML167,"ML167, TC233"
467,Italy,,Milan,4/21/2020,,,,TC: announced: 30kph speed limits. MW: NA. ML: NA,,"Legal, policy, enforcement, funding changes",Reduced speed limit,other bike/ped supports,speed limit,Regulatory,Entire Roadway,All day every day,No ban of any vehicles (shared space),entire city,Road space (includes bridges),Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Safety,Other,,N/A,Public sector action,https://www.theguardian.com/world/2020/apr/21/milan-seeks-to-prevent-post-crisis-return-of-traffic-pollution,,,,,,,,,,,,,,,0,,,,Europe & Central Asia,IT,,1,,,,,,503,TC235,TC235
468,United States,New York,New York City,,4/21/2020,,,"TC: NA. MW: The City of New York's Department of Transportation (DOT) announced a new effort to discourage cash payments at the city's parking meters and encourage contactless parking payment by smartphone. The Pay-By-Cell option protects the safety of both DOT's workforce and the public by reducing physical interactions with the City's 14,000 meters. Two different apps are now available for download to pay for parking at 80,000 metered spots across New York City: ParkMobile and ParkNYC.. ML: NA",New York encourages contactless payments for parking meters,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,Parking lane,All day every day,unknown,entire city,,Permanent infrastructure,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,unknown,unknown,https://www1.nyc.gov/html/dot/html/motorist/parking-rates.shtml,,,,,,,,,,,,Public space,Parking,,"Department of Transportation, Park NYC, ParkMobile",1,2,,North America,US,US-NY,0,,,,,,504,MW400,MW400
469,France,Île-de-France,statewide,,4/21/2020,,,"TC: NA. MW: The Île-de-France region has pledged EU 300 million to create a network of protected bicycle lanes connecting Paris with its suburbs. The money will go towards supporting the RER Vélo project, a network of nine bicycle lines connecting major centers in the Île-de-France region. The RER Vélo project was proposed by the Île-de-France Bicycle Collective, an advocacy network of 33 bicycle associations in the region that represents 80 municipalities.. ML: NA",Île-de-France region pledges EU 300 million to create network of protected bicycle lanes,"Legal, policy, enforcement, funding changes",Other strategies: new funding streams for ped/bike,influence planning,new $ for pedbike,Financial,N/A,All day every day,N/A,entire city,Road space (includes bridges),unknown,,Anticipated response,unknown,Arbitrary,Permanent,Moving people,Change of use,,unknown,unknown,https://www.iledefrance.fr/plus-de-pistes-cyclables-pour-faire-du-velo-un-mode-de-deplacement-du-quotidien,,,,,,,,,,,,Public space,,,"Île-de-France region, Île-de-France Bicycle Collective",1,,1,Europe & Central Asia,FR,FR-IDF,1,,,,,,505,MW072,MW072
470,Canada,British Columbia,Richmond,4/21/2020,,,,TC: NA. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),unknown,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,unknown,Indefinite,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,https://dailyhive.com/vancouver/richmond-automated-crosswalks-coronavirus?fbclid=IwAR3YOqz3cM6N6N_ECO0o3He5y9Ek_j4XUlIo9sfSk-c03_c9JeDS6_K4RIc,,,,,,,,,,,,Public space,,,0,,,,North America,CA,,1,,,,,,506,ML334,"ML334, TC236"
471,United States,California,San Francisco,4/21/2020,,,,TC: yes. MW: NA. ML: NA,,Partial street closures,Filtered/banned non-local traffic,street space for ped/bike,partial street: pedbike,Operational,Entire Roadway,unknown,Only resident vehicles allowed,one or more streets,Road space (includes bridges),Temporary barriers,,Strategic response (to fast-track previous policies),New action,Based on demand,Unknown,Moving people,Change of use,,N/A,unknown,"https://www.sfmta.com/blog/slow-streets-program-help-social-distancing , https://www.sfexaminer.com/news/sunset-supervisor-wants-to-keep-great-highway-car-free-during-crisis/","""re shared streets: """"The SFMTA is implementing a new program, Slow Streets, to close some streets to through traffic and allow roadways to be used more as a shared space for foot and bicycle traffic.
 Throughout the city, corridors have been identified for Phase 1 Slow Streets. Beginning this week, some of these streets will be closed to through vehicle traffic to prioritize walking/biking and to provide more space for social distancing during essential travel by those modes."""" (see story from SFTMA on the right for more)""",,,,,,,,,,,,,,0,,,,North America,US,US-CA,1,,,,,,508,TC237,TC237
472,United States,California,San Francisco,,4/21/2020,,,TC: NA. MW: San Francisco’s Slow Streets program will limit through-traffic on 13 miles of residential streets to prioritize walking and cycling. The program is being rolled out 8 blocks at a time. Streets were chosen in neighborhoods that are especially affected by public transit service reductions to connect residents to essential services.. ML: NA,San Francisco’s Slow Streets program will limit through-traffic on 13 miles of residential streets,Partial street closures,Filtered/banned non-local traffic,street space for ped/bike,partial street: pedbike,Operational,Entire Roadway,All day every day,Only resident vehicles allowed,one or more neighborhoods,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Unknown,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.sfmta.com/projects/slow-streets-program,,,,,,,,,,,,Public space,,,San Francisco Municipal Transportation Agency (SFMTA),1,,,North America,US,US-CA,1,,,,,,509,MW276,MW276
473,United States,California,San Francisco,4/21/2020,5/26/2020,,,"TC: yes. MW: San Francisco's 'Shared Spaces Program' is intended to support neighborhoods by providing additional public space for local business activities. The program will allow neighborhood businesses to share a portion of the public right-of-way, such as sidewalks, full or partial streets, or other nearby public spaces like parks and plazas for restaurant pick-up and other neighborhood retail activity. The program will allow individual businesses or local merchant associations to apply for a no-cost, expedited permit to share the sidewalk or parking lane for business purposes. Examples include restaurant pick-up services, beverage sales, and general retail that are eligible to operate under the City’s Health Order. Once restaurant dining is allowed under San Francisco’s Public Health Order, the public right-of-way could be used for outdoor restaurant seating.. ML: NA",San Francisco launches 'Shared Spaces Program' to support neighborhood activity and local businesses,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,parking lane: pedbike,Physical,Parking lane,All day every day,100% banning of cars,unknown,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Input or request from community,Temporary,Moving people,Change of use,,unknown,unknown,"https://sfmayor.org/article/mayor-london-breed-announces-shared-spaces-program-support-neighborhood-activity-and-local , https://www.sfmta.com/blog/slow-streets-program-help-social-distancing , https://www.sfexaminer.com/news/sunset-supervisor-wants-to-keep-great-highway-car-free-during-crisis/","""re shared streets: """"The SFMTA is implementing a new program, Slow Streets, to close some streets to through traffic and allow roadways to be used more as a shared space for foot and bicycle traffic.
 Throughout the city, corridors have been identified for Phase 1 Slow Streets. Beginning this week, some of these streets will be closed to through vehicle traffic to prioritize walking/biking and to provide more space for social distancing during essential travel by those modes."""" (see story from SFTMA on the right for more)""",,,,,,,,,,,Public space,,,San Francisco COVID-19 Economic Recovery Task Force,1,,,North America,US,US-CA,1,,,,,,510,MW267,"MW267, TC237"
474,Canada,Ontario,Toronto,,4/21/2020,,,"TC: NA. MW: The Toronto Transportation Commission (TTC) and Toronto Paramedic Services have repurposed five decommissioned TTC buses to safely transport both ambulatory and stretcher-bound patients, including those on ventilators. Each bus can transport three stretcher-bound patients, eight to ten ambulatory patients (dependant on spacing for physical distancing), plus three paramedics and one driver. Vehicles are driven by TTC drivers with paramedics seeing to medical needs of patients.. ML: NA",Toronto Transportation Commission (TTC) buses are repurposed to transport patients,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,unknown,unknown,unknown,,unknown,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Other,,Modifications to services,unknown,https://www.toronto.ca/news/ttc-and-toronto-paramedics-partner-to-repurpose-decommissioned-buses-for-emergency-transport/,,,,,,,,,,,,Transit,Bus,,"Toronto Transportation Commission (TTC), Toronto Paramedic Services",2,,,North America,CA,CA-ON,0,,,,,,511,MW418,MW418
475,United States,Texas,Austin,,4/22/2020,,,"TC: NA. MW: Capital Metro and Farmshare Austin offer produce delivery to SNAP recipients and other low-income individuals. The delivies include produce, non-perishable items, and eggs. Orders are generally paid ahead of time and deliveries are contact free.. ML: NA",Capital Metro provides produce to low-income individuals,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,N/A,N/A,N/A,entire city,,N/A,,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving goods,Other,,Modifications to services,unknown,https://capmetro.org/helpathomekits/,,,,,,,,,,,,Delivery or freight,,,"Capital Metro, Farmshare Austin",1,,1,North America,US,US-TX,0,,,,,,512,MW450,MW450
476,United States,California,Los Angeles,,4/22/2020,,,"TC: NA. MW: California High Speed Rail Authority Board approved $423 million in funding for Los Angeles Metrolink Union Station project, which will allow trains to enter/exit Union Station from both the north and south. That will increase the station’s rail capacity, cut down on travel time for Metrolink and Amtrak trains and reduce idling time for trains. California State Transportation Agency (CalSTA), also announced that it has awarded $222 million in grants for transformative transit and rail projects in Los Angeles County. The money will be used to improve service on Metrolink Antelope Valley, acquire 30 zero emission buses for muni operators, and help fund a people mover in Inglewood that is planned to run between the Crenshaw/LAX Line and SoFi Stadium. These projects are focused on mobility and local economic recovery beyond the pandemic.. ML: NA",Financing Los Angeles Metro projects for greater efficiency and service beyond the pandemic,"Legal, policy, enforcement, funding changes",Other strategies: misc,misc,miscellaneous,Various,"Other (parks, plazas)",unknown,unknown,entire city,,unknown,,Strategic response (to fast-track previous policies),New action,Based on previous studies,Unknown,Moving people,Other,$645 Million,Financing,unknown,https://thesource.metro.net/2020/04/22/covid-19-update-project-funding-bus-service-wednesday-april-22/?utm_source=ActiveCampaign&utm_medium=email&utm_content=COVID-19+update+-+project+funding%2C+bus+service%2C+news&utm_campaign=COVID-19+Email+%234,,,,,,,,,,,,Transit,,,"LA Metro, California High Speed Rail Authority Board, California State Transportation Agency (CalSTA)",1,,,North America,US,US-CA,0,,,,,,513,MW246,MW246
477,Argentina,,Mendoza,4/22/2020,,,,TC: details needed. MW: NA. ML: NA,,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,unknown,100% banning of cars,unknown,Road space (includes bridges),Temporary barriers,5,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Moving people,Change of use,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,AR,,1,,,,,,514,TC239,TC239
478,Argentina,,Mendoza,4/22/2020,,,,TC: NA. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),one or more streets,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Unknown,Public health,Automation,,N/A,unknown,NA,,,,,,,,,,,,,,,0,,,,Latin America & Caribbean,AR,,1,,,,,,515,TC240,TC240
479,France,,Paris,4/22/2020,,,,"TC: 150km of ""emergency"" temporary bike lanes in addition to the 650km of permanent ones. MW: NA. ML: NA",,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Reactive response (to higher contagion),unknown,Arbitrary,Temporary,Moving people,Change of use,,N/A,unknown,"https://twitter.com/Anne_Hidalgo , https://planvelo.paris/",,,,,,,,,,,,,,,0,,,,Europe & Central Asia,FR,0,1,,,,,,516,TC574,TC574
480,France,,Paris,4/22/2020,5/5/2020,,,"TC: 650km of new bikeways planned for post lockdown mobility. MW: Paris is implementing 650 kilometers of emergency bicycle lanes to facilitate movement as lockdown restrictions are eased. Mayor Anne Hidalgo is accelerating her bicycle plan for Paris, Plan Vélo, to preempt potential increases in car use as people start to move again while public transit is decreased. Plan Vélo calls for making every street in Paris bicycle-friendly by 2024 and removing 72% of the city’s on-street car parking spaces.. ML: Paris will fast-track a regional plan to build hundreds of miles of bikeways, many will be delivered with temporary materials starting May 11",Paris adding 650 kilometers of emergency bicycle lanes,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,entire city,Road space (includes bridges),Temporary barriers,649,Strategic response (to fast-track previous policies),Fast track pre-covid plan,Based on previous studies,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,"https://planvelo.paris/ , https://www.forbes.com/sites/carltonreid/2020/04/22/paris-to-create-650-kilometers-of-pop-up-corona-cycleways-for-post-lockdown-travel/#34d41f1d54d4 , https://www-forbes-com.cdn.ampproject.org/c/s/www.forbes.com/sites/carltonreid/2020/04/22/paris-to-create-650-kilometers-of-pop-up-corona-cycleways-for-post-lockdown-travel/amp/",,,,,,,,,,,,Public space,,,City of Paris,1,,,Europe & Central Asia,FR,FR-IDF,1,,,,,,517,ML285,"ML285, TC241, ML285"
481,Canada,British Columbia,Saanich,4/22/2020,,,,TC: daytime hours. MW: NA. ML: NA,,Automated walk signals,Automated walk signals,other bike/ped supports,automated walk signals,Operational,Intersection,All day every day,No ban of any vehicles (shared space),entire city,Beg buttons,Signage (horizontal or vertical),,Reactive response (to higher contagion),New action,Arbitrary,Temporary,Public health,Automation,,Modifications to or reallocation of public infrastructure,unknown,https://twitter.com/FocalEng/status/1252962821115019265,,,,,,,,,,,,Public space,,,0,,,,North America,CA,,1,,,,,,519,TC242,"TC242, ML335"
482,United States,Minnesota,Saint Paul,,4/22/2020,,,TC: NA. MW: The City of Saint Paul is temporarily closing portions of five streets to vehicle traffic to give pedestrians and cyclists more room for socially distanced exercise.. ML: NA,Saint Paul temporarily closes five streets to vehicle traffic,Full street closures,Closed streets to motor vehicles,street space for ped/bike,full street: pedbike,Physical,Entire Roadway,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Temporary,Public health,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.stpaul.gov/news/saint-paul-parks-recreation-covid-19-updates#roads,,,,,,,,,,,,Public space,,,City of Saint Paul,1,,,North America,US,US-MN,1,,,,,,520,MW378,MW378
483,United States,California,San Francisco,,4/22/2020,,,"TC: NA. MW: To increase opportunities available to small businesses during the Coronavirus outbreak, BART has been continuing essential construction projects and hosting virtual “speed-dating” sessions to expand who they subcontract with. Some say a large organization like BART can be bureaucratic. COVID-19 has forced BART to be more flexible and innovative.. ML: NA","The Bay Area Rapid Transit (BART) steps up small business outreach and opportunities, helping keep workers on the job",Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Other,unknown,All day every day,unknown,entire city,,unknown,,Opening up after lockdown,New action,Arbitrary,Indefinite,Economic recovery,Other,,Introducing new processes,unknown,https://www.bart.gov/news/articles/2020/news20200422,,,,,,,,,,,,Transit,Light-rail,,Bay Area Rapid Transit (BART),1,,,North America,US,US-CA,0,,,,,,521,MW269,MW269
484,United States,California,San Francisco,,4/22/2020,,,TC: NA. MW: The Bay Area Toll Authority voted to suspend weekday congestion pricing on the Bay Bridge indefinitely during the COVID-19 COVID-19 pandemic. Vehicle traffic has dropped significantly across all seven state-owned toll bridges in the Bay Area due to the pandemic and the resulting local and state shelter-in-place orders. Traffic on the Bay Bridge specifically has fallen by about half compared to last year since the Bay Area's shelter-in-place order took effect March 17.. ML: NA,Bay Area Toll Authority suspends congestion pricing on the Bay Bridge,Other mobility-related strategies,Other strategies: misc,misc,miscellaneous,Operational,unknown,Specific hours during daytime,unknown,one or more streets,,unknown,,Reactive response (to higher contagion),New action,Input or request from community,Unknown,Moving people,Other,,Modifications to prices,unknown,https://mtc.ca.gov/whats-happening/news/congestion-pricing-suspended-bay-bridge,,,,,,,,,,,,Individually owned,,,Bay Area Toll Authority,1,,,North America,US,US-CA,0,,,,,,522,MW270,MW270
485,France,,Val De Marne,4/22/2020,,,,"TC: 40km of new bike lanes, at first painted but then upgraded to separated.. MW: NA. ML: NA",,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,entire city,Two or more infrastructure elements affected or removed,Signage (horizontal or vertical),,Opening up after lockdown,unknown,Arbitrary,Permanent,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,http://www.leparisien.fr/val-de-marne-94/val-de-marne-bientot-40-km-de-pistes-cyclables-sanitaires-pour-eviter-la-contamination-22-04-2020-8304114.php,,,,,,,,,,,,Active,,,0,,,,Europe & Central Asia,FR,0,1,,,,,,523,ML302,"ML302, TC584"
486,Canada,British Columbia,Esquimalt,,4/23/2020,,,TC: NA. MW: A new temporary pedestrian lane has been set up across the Gorge Bridge on Tillicum Road to help with physical distancing while the sidewalk is closed for construction for the Wastewater Treatment Project.. ML: NA,Temporary pedestrian lane set up across Gorge Bridge,Curb space reallocation,Reallocated outer lane/curb space,street space for ped/bike,traffic lanes: pedbike,Physical,1+ travel lanes,All day every day,100% banning of cars,one or more streets,Road space (includes bridges),Temporary barriers,,Opening up after lockdown,New action,Arbitrary,Temporary,Moving people,Change of use,,Modifications to or reallocation of public infrastructure,unknown,https://www.crd.bc.ca/docs/default-source/wastewater-planning-2014/2020-04-23-constructionnotice-rscl-gorgebridge-update.pdf?sfvrsn=82c025cc_0,,,,,,,,,,,,Public space,,,Township of Esquimalt,1,,,North America,CA,CA-BC,1,,,,,,524,MW027,MW027
